,ffr_rate,ffr_1d_change,ffr_5d_change,ffr_20d_change,ffr_momentum,ffr_volatility,gdp_level,gdp_growth,gdp_momentum,gdp_ffr_ratio,macro_signal
2024-10-01,4.83,0.0,0.0,-0.5,0.0,0.24468024246479622,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-10-02,4.83,0.0,0.0,-0.5,0.0,0.23508117299081338,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-10-03,4.83,0.0,0.0,-0.5,0.0,0.2221308291596594,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-10-04,4.83,0.0,0.0,-0.5,0.0,0.2051956704170306,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-10-05,4.83,0.0,0.0,-0.5,0.0,0.18317377426626144,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-10-06,4.83,0.0,0.0,-0.5,0.0,0.15389675281277296,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-10-07,4.83,0.0,0.0,-0.5,0.0,0.11180339887498944,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-10-08,4.83,0.0,0.0,-0.5,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-10-09,4.83,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-10-10,4.83,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-10-11,4.83,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-10-12,4.83,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-10-13,4.83,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
2024-10-14,4.83,0.0,0.0,0.0,0.0,0.0,29354.321,1.1634914966594856,1.1634914966594856,5507.377298311445,0.5
